"state","median_income"
"MD",78945
"AK",76440
"NJ",76126
"MA",75297
"HI",74511
"CT",73433
"NH",70936
"VA",68114
"CA",67739
"WA",67106
"UT",65977
"CO",65685
"MN",65599
"NY",62909
"DE",61757
"IL",60960
"ND",60656
"RI",60596
"WY",59882
"VT",57677
"OR",57532
"NE",56927
"PA",56907
"WI",56811
"TX",56565
"IA",56247
"NV",55180
"KS",54935
"SD",54467
"GA",53559
"AZ",53558
"ME",53079
"MI",52492
"OH",52334
"IN",52314
"ID",51807
"MO",51746
"FL",50860
"NC",50584
"MT",50027
"SC",49501
"OK",49176
"TN",48547
"NM",46748
"KY",46659
"AL",46257
"LA",45146
"AR",44334
"WV",43385
"MS",41754
